"Municipalidad","Alianza","Bancas","Colores","Ediles"
"Lanús","URyF",1,"steelblue","URyF (1)"
"Lanús","LLA Disidente",3,"chocolate","LLA Disidente (3)"
"Lanús","UxP Disidente",1,"navy","UxP Disidente (1)"
"Laprida","UxP",6,"mediumaquamarine","UxP (6)"
"Laprida","Juntos",6,"darkorange","Juntos (6)"
"Las Flores","UxP",8,"mediumaquamarine","UxP (8)"
"Las Flores","Juntos",5,"darkorange","Juntos (5)"
"Las Flores","LLA",1,"purple","LLA (1)"
"Leandro N. Alem","UxP",6,"mediumaquamarine","UxP (6)"
"Leandro N. Alem","Juntos",6,"darkorange","Juntos (6)"
"Lezama","UxP",1,"mediumaquamarine","UxP (1)"
"Lezama","Juntos",3,"darkorange","Juntos (3)"
"Lezama","PRO",2,"yellow","PRO (2)"
"Lincoln","UxP",4,"mediumaquamarine","UxP (4)"
"Lincoln","LLA",2,"purple","LLA (2)"
"Lincoln","PRO",3,"yellow","PRO (3)"
"Lincoln","UCR",6,"red","UCR (6)"
"Lincoln","UxP Disidente",3,"navy","UxP Disidente (3)"
"Lobería","UxP",4,"mediumaquamarine","UxP (4)"
"Lobería","Juntos",8,"darkorange","Juntos (8)"
"Lobos","UxP",6,"mediumaquamarine","UxP (6)"
"Lobos","Juntos",7,"darkorange","Juntos (7)"
"Lobos","LLA",1,"purple","LLA (1)"
"Lobos","Vecinal",2,"black","Vecinal (2)"
"Lomas de Zamora","UxP",14,"mediumaquamarine","UxP (14)"
"Lomas de Zamora","LLA",4,"purple","LLA (4)"
"Lomas de Zamora","UCR DxS",2,"hotpink","UCR DxS (2)"
"Lomas de Zamora","PRO",2,"yellow","PRO (2)"
"Lomas de Zamora","LLA Disidente",1,"chocolate","LLA Disidente (1)"
"Lomas de Zamora","CC ARI",1,"tomato","CC ARI (1)"
"Luján","UxP",10,"mediumaquamarine","UxP (10)"
"Luján","LLA",1,"purple","LLA (1)"
"Luján","PRO",3,"yellow","PRO (3)"
"Luján","LLA Disidente",1,"chocolate","LLA Disidente (1)"
"Luján","Vecinal",5,"black","Vecinal (5)"
"Magdalena","UxP",4,"mediumaquamarine","UxP (4)"
"Magdalena","Juntos",7,"darkorange","Juntos (7)"
"Magdalena","Vecinal",1,"black","Vecinal (1)"
"Maipú","UxP",5,"mediumaquamarine","UxP (5)"
"Maipú","LLA",1,"purple","LLA (1)"
"Maipú","UCR",6,"red","UCR (6)"
"Malvinas Argentinas","UxP",15,"mediumaquamarine","UxP (15)"
"Malvinas Argentinas","Juntos",6,"darkorange","Juntos (6)"
"Malvinas Argentinas","LLA",3,"purple","LLA (3)"
"Mar Chiquita","UxP",7,"mediumaquamarine","UxP (7)"
"Mar Chiquita","Juntos",5,"darkorange","Juntos (5)"
"Mar Chiquita","LLA",2,"purple","LLA (2)"
"Marcos Paz","UxP",10,"mediumaquamarine","UxP (10)"
"Marcos Paz","Juntos",4,"darkorange","Juntos (4)"
"Marcos Paz","LLA",2,"purple","LLA (2)"
"Marcos Paz","UxP Disidente",2,"navy","UxP Disidente (2)"
"Mercedes","UxP",9,"mediumaquamarine","UxP (9)"
"Mercedes","LLA",2,"purple","LLA (2)"
"Mercedes","PRO",1,"yellow","PRO (1)"
"Mercedes","UCR",3,"red","UCR (3)"
"Mercedes","LLA Disidente",2,"chocolate","LLA Disidente (2)"
"Mercedes","CC ARI",1,"tomato","CC ARI (1)"
"Merlo","UxP",11,"mediumaquamarine","UxP (11)"
"Merlo","Juntos",4,"darkorange","Juntos (4)"
"Merlo","LLA",2,"purple","LLA (2)"
"Merlo","Peronismo no UxP",2,"dimgrey","Peronismo no UxP (2)"
"Merlo","URyF",1,"steelblue","URyF (1)"
"Merlo","PRO PB",1,"darkgoldenrod","PRO PB (1)"
"Merlo","FIT",2,"red3","FIT (2)"
"Merlo","CC ARI",1,"tomato","CC ARI (1)"
"Monte","UxP",4,"mediumaquamarine","UxP (4)"
"Monte","LLA",1,"purple","LLA (1)"
"Monte","PRO",2,"yellow","PRO (2)"
"Monte","UCR",6,"red","UCR (6)"
"Monte","UxP Disidente",1,"navy","UxP Disidente (1)"
"Monte Hermoso","UxP",6,"mediumaquamarine","UxP (6)"
"Monte Hermoso","Juntos",2,"darkorange","Juntos (2)"
"Monte Hermoso","Vecinal",2,"black","Vecinal (2)"
"Moreno","UxP",13,"mediumaquamarine","UxP (13)"
"Moreno","Juntos",6,"darkorange","Juntos (6)"
"Moreno","LLA",3,"purple","LLA (3)"
"Moreno","FIT",2,"red3","FIT (2)"
